path,title,type,entity_subtype,source_type,date,status,has_raw_source,ingest_version,description
academic/raw/references/D041-2022-rlf李伟明/paper,Non-Parametric Semi-Supervised Learning in Many-Body Hilbert Space with Rescaled Logarithmic Fidelity,raw,,official-doc,2022,current,0,0,raw-not-distributed/D041-2022-rlf李伟明/paper.md
academic/raw/references/D042-2023-kagome-方大智/paper,Nature of the 1/9-magnetization plateau in the spin- <sup>1</sup> kagome Heisenberg antiferromagnet,raw,,official-doc,2023,current,0,0,raw-not-distributed/D042-2023-kagome-方大智/paper.md
academic/raw/references/D043-2023-schmidt-tns-prl/paper,Tensor Network Efficiently Representing Schmidt Decomposition of Quantum Many-Body States,raw,,official-doc,2023,current,0,0,raw-not-distributed/D043-2023-schmidt-tns-prl/paper.md
academic/raw/references/D044-2023-luying-quvis/paper,Quantum compiling with a variational instruction set for accurate and fast quantum computing,raw,,official-doc,2023,current,0,0,raw-not-distributed/D044-2023-luying-quvis/paper.md
academic/raw/references/D045-2023-resmps/paper,Residual matrix product state for machine learning,raw,,official-doc,2023,current,0,0,raw-not-distributed/D045-2023-resmps/paper.md
academic/raw/references/D046-2023-王顶族qes边界奇异性/paper,Boundary-induced singularity in strongly-correlated quantum systems at finite temperature,raw,,official-doc,2023,current,0,0,raw-not-distributed/D046-2023-王顶族qes边界奇异性/paper.md
academic/raw/references/D047-2024-wang-eth-inhomogeneous/paper,Eigenstate thermalization and its breakdown in quantum spin chains with inhomogeneous interactions,raw,,official-doc,2024,current,0,0,raw-not-distributed/D047-2024-wang-eth-inhomogeneous/paper.md
academic/raw/references/D048-2024-luying-entanglement-prl/paper,Persistent Ballistic Entanglement Spreading with Optimal Control in Quantum Spin Chains,raw,,official-doc,2024,current,0,0,raw-not-distributed/D048-2024-luying-entanglement-prl/paper.md
academic/raw/references/D049-2025-ifmps-hong-rui/paper,Entanglement scaling and criticality of infinite-size quantum many-body systems in continuous space addressed by a tensor network approach,raw,,official-doc,2025,current,0,0,raw-not-distributed/D049-2025-ifmps-hong-rui/paper.md
academic/raw/references/D050-2025-adtn-nn-compression/paper,Compressing Neural Networks Using Tensor Networks with Exponentially Fewer Variational Parameters,raw,,official-doc,2025,current,0,0,raw-not-distributed/D050-2025-adtn-nn-compression/paper.md
academic/raw/references/D051-2026-tianda-graph-qml/paper,Unveiling the nature of graphs through quantum graphon learning,raw,,official-doc,2026,current,0,0,raw-not-distributed/D051-2026-tianda-graph-qml/paper.md
academic/raw/references/D052-2026-cpb-chaos-ml/paper,Machine learning of chaotic characteristics in classical nonlinear dynamics using variational quantum circuit,raw,,official-doc,2026,current,0,0,raw-not-distributed/D052-2026-cpb-chaos-ml/paper.md
academic/raw/references/D053-2026-mpe-prl/paper,Matrix-Product Entanglement Characterizing the Optimality of State-Preparation Quantum Circuits,raw,,official-doc,2026,current,0,0,raw-not-distributed/D053-2026-mpe-prl/paper.md
academic/raw/references/D054-2026-setn-zhu-hao/paper,Statistics-encoded tensor network approach in disordered quantum many-body spin chains,raw,,official-doc,2026,current,0,0,raw-not-distributed/D054-2026-setn-zhu-hao/paper.md
academic/raw/references/D055-2026-fdz-kagome-magnetic-platform/paper,Exotic transition and reentrance on the 1/9 magnetization plateau in a spin-1/2 anisotropic kagome antiferromagnet,raw,,official-doc,2026,current,0,0,raw-not-distributed/D055-2026-fdz-kagome-magnetic-platform/paper.md
academic/raw/references/D056-2026-icomputing-qml-orthogonality/paper,Orthogonality in Quantum-Probabilistic Machine Learning: An Investigation on Multiqubit Encoding,raw,,official-doc,2026,current,0,0,raw-not-distributed/D056-2026-icomputing-qml-orthogonality/paper.md
academic/wiki/hubs/Heisenberg 反铁磁模型,Heisenberg 反铁磁模型,hub,,,,active,0,0,各向同性 Heisenberg 反铁磁模型及其在蜂窝格等二维晶格上的自旋-1/2 实现与基态研究。
academic/wiki/hubs/PEPS 与 iPEPS 更新方法,PEPS 与 iPEPS 更新方法,hub,,,,active,0,0,以投影纠缠对态（PEPS/iPEPS）及 full update、cluster update 为核心的二维张量网络表示与优化方法。
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,hub,,,,active,0,0,投影纠缠对态（PEPS/iPEPS）、投影纠缠单纯态（PESS）及其全更新和高维推广框架。
academic/wiki/hubs/msQFM 及其编码方案,msQFM 及其编码方案,hub,,,,active,0,0,多自旋量子特征映射（msQFM）、msQFM-copy、msQFM-binary 及其在张量网络机器学习中的编码策略。
academic/wiki/hubs/一维量子自旋链与基态,一维量子自旋链与基态,hub,,,,active,0,0,一维强关联自旋模型及 XY 链、自旋-1 锯齿链等具体量子链的基态与相结构。
academic/wiki/hubs/二维量子多体系统与临界性,二维量子多体系统与临界性,hub,,,,active,0,0,二维量子多体模型的基态、临界行为及其纠缠谱等结构性诊断。
academic/wiki/hubs/价键固体与价键晶体,价键固体与价键晶体,hub,,,,active,0,0,价键固体/价键晶体（VBS/VBC）及二聚化、三聚化价键晶体等空间对称性破缺相。
academic/wiki/hubs/关联长度与最近邻关联诊断,关联长度与最近邻关联诊断,hub,,,,active,0,0,关联长度、最近邻关联及其奇异行为对量子多体系统相变与临界结构的诊断。
academic/wiki/hubs/多参考 Hartree–Fock 与耦合簇方法,多参考 Hartree–Fock 与耦合簇方法,hub,,,,active,0,0,面向强关联电子结构的 Hartree–Fock、多参考构造与多参考耦合簇（MR-CC）方法。
academic/wiki/hubs/局域与双体纠缠熵及面积律,局域与双体纠缠熵及面积律,hub,,,,active,0,0,单点纠缠熵（SEE）、双体纠缠熵（BEE）、准纠缠熵及纠缠熵面积律的定义、提取与物理诊断。
academic/wiki/hubs/张量网络方法与机器学习,张量网络方法与机器学习,hub,,,,active,0,0,变分张量网络算法、通用张量网络方法及其在机器学习模型与任务中的应用。
academic/wiki/hubs/张量重正化群及可微变体,张量重正化群及可微变体,hub,,,,active,0,0,张量重正化群（TRG）、线性化 TRG（LTRG）与可微张量重正化群（∂TRG）的收缩、优化与应用。
academic/wiki/hubs/拓扑纠缠熵与 Rényi 诊断,拓扑纠缠熵与 Rényi 诊断,hub,,,,active,0,0,用拓扑纠缠熵、拓扑 Rényi 熵及相关准纠缠熵信号识别拓扑有序与量子多体态结构。
academic/wiki/hubs/神经网络求解电子薛定谔方程,神经网络求解电子薛定谔方程,hub,,,,active,0,0,以 PauliNet 等神经量子态方法求解、反演单电子与多电子薛定谔方程。
academic/wiki/hubs/纠缠熵与纠缠谱诊断,纠缠熵与纠缠谱诊断,hub,,,,active,0,0,以纠缠熵、准纠缠熵和纠缠谱（含边界态纠缠谱）表征量子态、相与边界结构的诊断方法。
academic/wiki/hubs/量子与变分蒙特卡洛方法,量子与变分蒙特卡洛方法,hub,,,,active,0,0,量子蒙特卡洛、变分蒙特卡洛及其随机采样技术在量子多体计算中的方法与应用。
academic/wiki/hubs/量子格点模型的晶格几何,量子格点模型的晶格几何,hub,,,,active,0,0,用于量子格点与多体模型的蜂窝、checkerboard、简单立方和 Bethe 等晶格几何及网络结构。
academic/wiki/hubs/量子自旋模型与自旋液体,量子自旋模型与自旋液体,hub,,,,active,0,0,量子自旋模型中的二维量子自旋液体、费米型代数自旋液体及相关强关联基态。
academic/wiki/papers/D001-2010-distorted-kagome,Phase transitions and thermodynamics of the two-dimensional Ising model on a distorted kagome lattice,page,,official-doc,2010,current,1,5,
academic/wiki/papers/D002-2010-ltrg,Linearized Tensor Renormalization Group Algorithm for the Calculation of Thermodynamic Properties of Quantum Lattice Models,page,,official-doc,2011,current,1,5,
academic/wiki/papers/D003-2012-spin-1-chain-闫,"Phase diagrams, distinct conformal anomalies, and thermodynamics of spin-1 bond-alternating Heisenberg antiferromagnetic chain in magnetic fields",page,,official-doc,2012,current,1,5,
academic/wiki/papers/D004-2012-odtns,Optimized decimation of tensor networks with super-orthogonalization for two-dimensional quantum lattice models,page,,official-doc,2012,current,1,5,
academic/wiki/papers/D005-2014-zhaoyanghoneycombladder,Honeycomb Heisenberg spin ladder: Unusual ground state and thermodynamic properties,page,,official-doc,2013,current,1,5,
academic/wiki/papers/D006-2013-ncd-physrevb88064407,Theory of network contractor dynamics for exploring thermodynamic properties of two-dimensional quantum lattice models,page,,official-doc,2013,current,1,5,
academic/wiki/papers/D007-2013-kt-phase,Kosterlitz-Thouless phase transition and re-entrance in an anisotropic three-state Potts model on the generalized kagome lattice,page,,official-doc,2013,current,1,5,
academic/wiki/papers/D008-2014-husimi,"Featureless quantum spin liquid, 1-magnetization plateau state, and exotic thermodynamic properties of the spin-1 frustrated Heisenberg antiferromagnet on an infinite Husimi lattice",page,,official-doc,2014,current,1,5,
academic/wiki/papers/D009-2016-aop-physreve93053310,Ab initio optimization principle for the ground states of translationally invariant strongly correlated quantum lattice models,page,,official-doc,2016,current,1,5,
academic/wiki/papers/D010-2015-sierpinskie2015-60745-5,Phase diagram and exotic spin-spin correlations of anisotropic Ising model on the Sierpi´nski gasket,page,,official-doc,2016,current,1,5,
academic/wiki/papers/D011-2017-ptdmrgphysrevb95064110,Efficient perturbation theory to improve the density matrix renormalization group,page,,official-doc,2017,current,1,5,
academic/wiki/papers/D012-2017-octa-kagome,Fermionic algebraic quantum spin liquid in an octa-kagome frustrated antiferromagnet,page,,official-doc,2017,current,1,5,
academic/wiki/papers/D013-2017-criticality-tn-2d,Criticality in two-dimensional quantum systems: Tensor network approach,page,,official-doc,2017,current,1,5,
academic/wiki/papers/D014-2017-fewbody-qes-ground-states,Few-body systems capture many-body physics: Tensor network approach,page,,official-doc,2017,current,1,5,
academic/wiki/papers/D015-2017-cruezphysrevx7031057,Exploring Interacting Topological Insulators with Ultracold Atoms: The Synthetic Creutz-Hubbard Model,page,,official-doc,2017,current,1,5,
academic/wiki/papers/D016-2018-kagome-chenxi,Thermodynamics of spin-1/2 Kagomé Heisenberg antiferromagnet: algebraic paramagnetic liquid and finite-temperature phase diagram,page,,official-doc,2018,current,1,5,
academic/wiki/papers/D017-2018-emergent-spin-1-trimerized-valence-bond-crystal,Emergent spin-1 trimerized valence bond crystal in the spin- <sup>1</sup> Heisenberg model on the star lattice,page,,official-doc,2018,current,1,5,
academic/wiki/papers/D018-2018-csw-physrevb98085111,Controlling the phase diagram of finite spin-$\frac{1}{2}$ chains by tuning the boundary interactions,page,,official-doc,2018,current,1,5,
academic/wiki/papers/D019-2018-pc-epjb,Exotic entanglement scaling of Heisenberg antiferromagnet on honeycomb lattice,page,,official-doc,2018,current,1,5,
academic/wiki/papers/D020-2018-091彭程,时间矩阵乘积态理论及其应用,page,,official-doc,2019,current,1,5,
academic/wiki/papers/D021-2019-machine-learning-by-unitary-tensor-network-of-hierarchical-tree-structure,Machine learning by unitary tensor network of hierarchical tree structure,page,,official-doc,2019,current,1,5,
academic/wiki/papers/D022-2019-noise-tolerant-signature-ofzntopological-order-in-quantum-many-body-states,Noise-tolerant signature of Z<sub>N</sub> topological order in quantum many-body states,page,,official-doc,2019,current,1,5,
academic/wiki/papers/D023-2019-finite-temperature-qes,Efficient quantum simulation for thermodynamics of infinite-size many-body systems in arbitrary dimensions,page,,official-doc,2019,current,1,5,
academic/wiki/papers/D024-2020-paulinets-hermann,Deep-neural-network solution of the electronic Schrödinger equation,page,,official-doc,2020,current,1,5,
academic/wiki/papers/D025-2020-mps_deep_encoding_circuit,Encoding of matrix product states into quantum circuits of one- and two-qubit gates,page,,official-doc,2020,current,1,5,
academic/wiki/papers/D026-2020-sawtooth,Reentrance of the topological phase in a spin-1 frustrated Heisenberg chain,page,,official-doc,2020,current,1,5,
academic/wiki/papers/D027-2020-gtnc,Generative tensor network classification model for supervised machine learning,page,,official-doc,2020,current,1,5,
academic/wiki/papers/D028-2020-tsgo-tangent-space-gradient-optimization-of-tensor-network-for-machine-learning,Tangent-space gradient optimization of tensor network for machine learning,page,,official-doc,2020,current,1,5,
academic/wiki/papers/D029-2020-tncs-physrevresearch2033293,Tensor network compressed sensing with unsupervised machine learning,page,,official-doc,2020,current,1,5,
academic/wiki/papers/D030-2021-qubismnet,Deep Learning Quantum States for Hamiltonian Estimation,page,,official-doc,2021,current,1,5,
academic/wiki/papers/D031-2021-adqc,Automatically differentiable quantum circuit for many-qubit state preparation,page,,official-doc,2021,current,1,5,
academic/wiki/papers/D032-2021-卢迎fgto,Preparation of many-body ground states by time evolution with variational microscopic magnetic fields and incomplete interactions,page,,official-doc,2021,current,1,5,
academic/wiki/papers/D033-2021-quantum-phase-visualization,Visualizing quantum phases and identifying quantum phase transitions by nonlinear dimensional reduction,page,,official-doc,2021,current,1,5,
academic/wiki/papers/D034-2021-virtual-configuration-binarization,Phase identification in many-body systems by virtual configuration binarization,page,,official-doc,2021,current,1,5,
academic/wiki/papers/D035-2021-光量子分类器,Experimental realization of a quantum image classifier via tensor-network-based machine learning,page,,official-doc,2021,current,1,5,
academic/wiki/papers/D036-2021-mpnn,Predicting quantum potentials by deep neural network and metropolis sampling,page,,official-doc,2021,current,1,5,
academic/wiki/papers/D037-2021-entanglement-feature-extraction,Entanglement-Based Feature Extraction by Tensor Network Machine Learning,page,,official-doc,2021,current,1,5,
academic/wiki/papers/D038-2022-cpl-tn特征选择-白生成,Unsupervised Recognition of Informative Features via Tensor Network Machine Learning and Quantum Entanglement Variations,page,,official-doc,2022,current,1,5,
academic/wiki/papers/D039-2022-tn-tailoring-王顶族,Efficient simulation of quantum many-body thermodynamics by tailoring a zero-temperature tensor network,page,,official-doc,2022,current,1,5,
academic/wiki/papers/D040-2022-functional-mps-洪瑞,Functional tensor network solving many-body Schrödinger equation,page,,official-doc,2022,current,1,5,
academic/wiki/papers/D041-2022-rlf李伟明,Non-Parametric Semi-Supervised Learning in Many-Body Hilbert Space with Rescaled Logarithmic Fidelity,page,,official-doc,2022,current,1,5,
academic/wiki/papers/D042-2023-kagome-方大智,Nature of the 1/9-magnetization plateau in the spin- <sup>1</sup> kagome Heisenberg antiferromagnet,page,,official-doc,2023,current,1,5,
academic/wiki/papers/D043-2023-schmidt-tns-prl,Tensor Network Efficiently Representing Schmidt Decomposition of Quantum Many-Body States,page,,official-doc,2023,current,1,5,
academic/wiki/papers/D044-2023-luying-quvis,Quantum compiling with a variational instruction set for accurate and fast quantum computing,page,,official-doc,2023,current,1,5,
academic/wiki/papers/D045-2023-resmps,Residual matrix product state for machine learning,page,,official-doc,2023,current,1,5,
academic/wiki/papers/D046-2023-王顶族qes边界奇异性,Boundary-induced singularity in strongly-correlated quantum systems at finite temperature,page,,official-doc,2023,current,1,5,
academic/wiki/papers/D047-2024-wang-eth-inhomogeneous,Eigenstate thermalization and its breakdown in quantum spin chains with inhomogeneous interactions,page,,official-doc,2024,current,1,5,
academic/wiki/papers/D048-2024-luying-entanglement-prl,Persistent Ballistic Entanglement Spreading with Optimal Control in Quantum Spin Chains,page,,official-doc,2024,current,1,5,
academic/wiki/papers/D049-2025-ifmps-hong-rui,Entanglement scaling and criticality of infinite-size quantum many-body systems in continuous space addressed by a tensor network approach,page,,official-doc,2025,current,1,5,
academic/wiki/papers/D050-2025-adtn-nn-compression,Compressing Neural Networks Using Tensor Networks with Exponentially Fewer Variational Parameters,page,,official-doc,2025,current,1,5,
academic/wiki/papers/D051-2026-tianda-graph-qml,Unveiling the nature of graphs through quantum graphon learning,page,,official-doc,2026,current,1,5,
academic/wiki/papers/D052-2026-cpb-chaos-ml,Machine learning of chaotic characteristics in classical nonlinear dynamics using variational quantum circuit,page,,official-doc,2026,current,1,5,
academic/wiki/papers/D053-2026-mpe-prl,Matrix-Product Entanglement Characterizing the Optimality of State-Preparation Quantum Circuits,page,,official-doc,2026,current,1,5,
academic/wiki/papers/D054-2026-setn-zhu-hao,Statistics-encoded tensor network approach in disordered quantum many-body spin chains,page,,official-doc,2026,current,1,5,
academic/wiki/papers/D055-2026-fdz-kagome-magnetic-platform,Exotic transition and reentrance on the 1/9 magnetization plateau in a spin-1/2 anisotropic kagome antiferromagnet,page,,official-doc,2026,current,1,5,
academic/wiki/papers/D056-2026-icomputing-qml-orthogonality,Orthogonality in Quantum-Probabilistic Machine Learning: An Investigation on Multiqubit Encoding,page,,official-doc,2026,current,1,5,
backflow变换,backflow变换,entity,keyword,,,current,0,0,
c=1自由玻色共形场论,c=1自由玻色共形场论,entity,keyword,,,current,0,0,
checkerboard格子,checkerboard格子,entity,keyword,,,current,0,0,
dropout,含非线性激活与dropout的ResMPS(aResMPS),entity,keyword,,,current,0,0,
full update,无限投影纠缠对态的完全更新full update,entity,keyword,,,current,0,0,
honeycomb,honeycomb格子最近邻共振价键态,entity,keyword,,,current,0,0,
honeycomb格子,honeycomb格子,entity,keyword,,,current,0,0,
h–T 平面有限温相图,h–T 平面有限温相图,entity,proposition,,,current,0,0,
h–T 平面相图,h–T 平面相图,entity,keyword,,,current,0,0,
initio optimization principle,ab initio optimization principle,entity,keyword,,,current,0,0,
kagome格点,kagome格点,entity,keyword,,,current,0,0,
k均值聚类k-means,k均值聚类k-means,entity,keyword,,,current,0,0,
msQFM,msQFM,entity,keyword,,,current,0,0,
msQFM-binary,msQFM-binary,entity,keyword,,,current,0,0,
msQFM-binary编码方案,msQFM-binary编码方案,entity,proposition,,,current,0,0,
msQFM-copy,msQFM-copy,entity,keyword,,,current,0,0,
msQFM-copy编码方案,msQFM-copy编码方案,entity,proposition,,,current,0,0,
qubit-efficient scheme,qubit-efficient scheme,entity,keyword,,,current,0,0,
q稀疏度必要性,q稀疏度必要性,entity,keyword,,,current,0,0,
ribbon算符,ribbon算符,entity,keyword,,,current,0,0,
sigma,单原子寻址调制sigma_i^z sigma_{i+1}^z项上的线性梯度,entity,keyword,,,current,0,0,
spin-,自旋-1/2双腿蜂窝自旋梯spin-1/2 two-leg honeycomb spin ladder,entity,keyword,,,current,0,0,
statistics-encoded tensor network,statistics-encoded tensor network(SeTN),entity,keyword,,,current,0,0,
t-SNE,t-SNE,entity,keyword,,,current,0,0,
worm update,连续时间世界线量子蒙特卡罗worm update,entity,keyword,,,current,0,0,
zig-zag路径优化,zig-zag路径优化,entity,keyword,,,current,0,0,
χ-MPE标度行为判定电路深度最优性,χ-MPE标度行为判定电路深度最优性,entity,proposition,,,current,0,0,
一步前向预测,一步前向预测one-step forward prediction,entity,keyword,,,current,0,0,
一维XY自旋链,一维XY自旋链,entity,keyword,,,current,0,0,
一维光晶格两内态超冷费米原子实验方案,一维光晶格两内态超冷费米原子实验方案,entity,proposition,,,current,0,0,
一维共形场论中心荷,一维共形场论中心荷,entity,keyword,,,current,0,0,
一维强关联自旋模型的基态,一维强关联自旋模型的基态,entity,keyword,,,current,0,0,
一维海森堡模型,一维海森堡模型,entity,keyword,,,current,0,0,
一维自旋模型,一维自旋模型,entity,keyword,,,current,0,0,
一维谐振子,一维谐振子,entity,keyword,,,current,0,0,
一维边界态有效哈密顿量,一维边界态有效哈密顿量,entity,keyword,,,current,0,0,
一般不能直接用于更新一般神经网络,一般不能直接用于更新一般神经网络,entity,proposition,,,current,0,0,
一阶Trotter分解,一阶Trotter分解,entity,keyword,,,current,0,0,
三体耦合,三体耦合,entity,keyword,,,current,0,0,
三态Potts模型无精确解,三态Potts模型无精确解,entity,proposition,,,current,0,0,
三态模型,三态Potts模型three-state Potts model,entity,keyword,,,current,0,0,
三维砖墙张量网络,三维砖墙张量网络,entity,keyword,,,current,0,0,
三维闭合张量网络,三维闭合张量网络,entity,keyword,,,current,0,0,
不具备平移对称性,不具备平移对称性,entity,proposition,,,current,0,0,
不受负符号问题困扰,不受负符号问题困扰,entity,keyword,,,current,0,0,
与动力学平均场和密度矩阵嵌入理论结合以模拟相互作用电子体系,与动力学平均场和密度矩阵嵌入理论结合以模拟相互作用电子体系,entity,proposition,,,current,0,0,
与变分量子本征求解器结合,与变分量子本征求解器结合,entity,proposition,,,current,0,0,
与图神经网络集成实现条件graphon学习,与图神经网络集成实现条件graphon学习,entity,proposition,,,current,0,0,
与张量乘积密度算符算法结合用于有限温度相变研究,与张量乘积密度算符算法结合用于有限温度相变研究,entity,proposition,,,current,0,0,
两体耦合,两体耦合,entity,keyword,,,current,0,0,
两种价键图案之间的直接相变,两种价键图案之间的直接相变,entity,keyword,,,current,0,0,
两种价键图案相变,两种价键图案相变,entity,keyword,,,current,0,0,
两类之间的分类难度,两类之间的分类难度,entity,keyword,,,current,0,0,
严格对角化,严格对角化,entity,keyword,,,current,0,0,
中心正交形式,中心正交形式central-orthogonal form,entity,keyword,,,current,0,0,
中心荷,中心荷central charge,entity,keyword,,,current,0,0,
中心荷标定,中心荷标定,entity,keyword,,,current,0,0,
中等梯度强度驱动混沌与遍历性,中等梯度强度驱动混沌与遍历性,entity,keyword,,,current,0,0,
中等梯度驱动量子混沌与遍历性,中等梯度驱动量子混沌与遍历性,entity,keyword,,,current,0,0,
临界信息精确提取受限,临界信息精确提取受限,entity,proposition,,,current,0,0,
临界指数临界指数,临界指数临界指数(critical exponent),entity,keyword,,,current,0,0,
临界点,临界点,entity,keyword,,,current,0,0,
临界点处张量难以保持临界性,临界点处张量难以保持临界性,entity,proposition,,,current,0,0,
临界量子多体系统,临界量子多体系统,entity,keyword,,,current,0,0,
主要适用于短程关联图像,主要适用于短程关联图像,entity,proposition,,,current,0,0,
二分纠缠熵上界受电路层数限制,二分纠缠熵上界受电路层数限制,entity,proposition,,,current,0,0,
二维下张量网络优化与物理量提取仍十分困难,二维下张量网络优化与物理量提取仍十分困难,entity,proposition,,,current,0,0,
二维临界性,二维临界性,entity,keyword,,,current,0,0,
二维张量网络方法,二维张量网络方法,entity,keyword,,,current,0,0,
二维模型,二维Ising模型two-dimensional Ising model,entity,keyword,,,current,0,0,
二维经典伊辛模型,二维经典伊辛模型,entity,keyword,,,current,0,0,
二维转移网络直接粗粒化,二维转移网络直接粗粒化,entity,keyword,,,current,0,0,
二维量子多体系统,二维量子多体系统,entity,keyword,,,current,0,0,
二维量子多体系统基态临界性,二维量子多体系统基态临界性,entity,keyword,,,current,0,0,
二维量子模型,二维量子模型,entity,keyword,,,current,0,0,
二维量子模型映射为三维闭合张量网络,二维量子模型映射为三维闭合张量网络,entity,keyword,,,current,0,0,
二维量子自旋液体,二维量子自旋液体,entity,keyword,,,current,0,0,
二聚体—二聚体关联dimer-dimer correlation,二聚体—二聚体关联dimer-dimer correlation,entity,proposition,,,current,0,0,
二聚体相dimer phase,二聚体相dimer phase,entity,keyword,,,current,0,0,
二聚体相纠缠熵随截断维度呈线性标度,二聚体相纠缠熵随截断维度呈线性标度,entity,proposition,,,current,0,0,
二聚化价键晶体,二聚化价键晶体dimerized valence bond crystal,entity,keyword,,,current,0,0,
交换各向异性,交换各向异性,entity,keyword,,,current,0,0,
交换各向异性诱导的价键图案反转,交换各向异性诱导的价键图案反转,entity,proposition,,,current,0,0,
交替最小二乘算法,交替最小二乘算法,entity,keyword,,,current,0,0,
仅基于最近邻耦合,仅基于最近邻耦合,entity,proposition,,,current,0,0,
仅用少于10个量子比特实现N=24到150个自旋的基态矩阵乘积态,仅用少于10个量子比特实现N=24到150个自旋的基态矩阵乘积态,entity,proposition,,,current,0,0,
仅通过边界参数α切换有限自旋链的体能谱与纠缠谱简并结构,仅通过边界参数α切换有限自旋链的体能谱与纠缠谱简并结构,entity,proposition,,,current,0,0,
从零温无限张量网络剪裁并缝合得到有限温密度算符,从零温无限张量网络剪裁并缝合得到有限温密度算符,entity,proposition,,,current,0,0,
以L与L_LE发散作为缺乏泛化能力的指纹,以L与L_LE发散作为缺乏泛化能力的指纹,entity,proposition,,,current,0,0,
以旋转角θ确定学习率η=tanθ,以旋转角θ确定学习率η=tanθ,entity,proposition,,,current,0,0,
以无监督张量网络训练所得Born机作为生成模型,以无监督张量网络训练所得Born机作为生成模型,entity,proposition,,,current,0,0,
以温度无关少体有效哈密顿量模拟无限大系统有限温度热力学,以温度无关少体有效哈密顿量模拟无限大系统有限温度热力学,entity,proposition,,,current,0,0,
以纠缠标度区分二聚体相与Néel相,以纠缠标度区分二聚体相与Néel相,entity,proposition,,,current,0,0,
价键固体valence bond solid(VBS),价键固体valence bond solid(VBS),entity,proposition,,,current,0,0,
价键图案再进入现象,价键图案再进入现象,entity,proposition,,,current,0,0,
价键图案反转,价键图案反转,entity,keyword,,,current,0,0,
位置依赖的z-z耦合Delta_i,位置依赖的z-z耦合Delta_i,entity,keyword,,,current,0,0,
位置依赖的z-z耦合Delta_i在链两端分别取值Delta-theta与Delta+theta,位置依赖的z-z耦合Delta_i在链两端分别取值Delta-theta与Delta+theta,entity,keyword,,,current,0,0,
低秩适配,低秩适配low-rank adaptation(LoRA),entity,keyword,,,current,0,0,
余弦变换,余弦变换,entity,keyword,,,current,0,0,
依赖图像分割与矩阵变换滤波器的特征提取,依赖图像分割与矩阵变换滤波器的特征提取,entity,keyword,,,current,0,0,
保真度fidelity,保真度fidelity,entity,keyword,,,current,0,0,
保真度近乎为零,保真度近乎为零,entity,keyword,,,current,0,0,
借助PEPO等热力学张量网络方法推广到更高维度,借助PEPO等热力学张量网络方法推广到更高维度,entity,proposition,,,current,0,0,
偏振态,偏振态,entity,keyword,,,current,0,0,
偶极-偶极相互作用,偶极-偶极相互作用,entity,keyword,,,current,0,0,
偶极相互作用在约微米下提供足够强的自旋交换,偶极相互作用在r约1微米下提供足够强的自旋交换,entity,proposition,,,current,0,0,
偶极相互作用或波导介导光子交换实现跃迁,偶极相互作用或波导介导光子交换实现跃迁,entity,keyword,,,current,0,0,
偶极相互作用按衰减引入次近邻项,偶极相互作用按r^-3衰减引入次近邻项,entity,keyword,,,current,0,0,
偶极相互作用按衰减引入次近邻项的影响未在本文处理,偶极相互作用按r^-3衰减引入次近邻项的影响未在本文处理,entity,proposition,,,current,0,0,
偶极相互作用按衰减引入次近邻项的影响未处理,偶极相互作用按r^-3衰减引入次近邻项的影响未处理,entity,proposition,,,current,0,0,
偶极相互作用随主量子数以增强,偶极相互作用随主量子数n以n^4增强,entity,keyword,,,current,0,0,
偶极相互作用随主量子数以增强提供强自旋交换,偶极相互作用随主量子数n以n^4增强提供强自旋交换,entity,keyword,,,current,0,0,
像素质标签,像素质标签pixel labeling,entity,keyword,,,current,0,0,
光晶格超冷原子,光晶格超冷原子,entity,keyword,,,current,0,0,
全局时间优化,全局时间优化,entity,keyword,,,current,0,0,
全态采样的指数加速,全态采样的指数加速,entity,proposition,,,current,0,0,
全更新无穷投影纠缠对态,全更新无穷投影纠缠对态infinite projected entangled pair state(iPEPS),entity,keyword,,,current,0,0,
八角笼目晶格,八角—笼目晶格octa-kagome lattice,entity,keyword,,,current,0,0,
共形场论中心荷,共形场论中心荷central charge of conformal field theory,entity,keyword,,,current,0,0,
共形场论标度律推广,共形场论标度律推广,entity,keyword,,,current,0,0,
关联长度,关联长度correlation length,entity,keyword,,,current,0,0,
关联长度关联长度,关联长度关联长度(correlation length),entity,keyword,,,current,0,0,
关联长度奇异性,关联长度奇异性,entity,keyword,,,current,0,0,
内禀拓扑序,内禀拓扑序,entity,keyword,,,current,0,0,
冉仕举,冉仕举,entity,person,,,current,0,0,
再入现象,再入现象,entity,keyword,,,current,0,0,
再入现象可出现在属于普适类的相之下,再入现象可出现在属于Kosterlitz-Thouless普适类的相之下,entity,proposition,,,current,0,0,
再入现象可出现在无局域序参量的相之下,再入现象可出现在无局域序参量的相之下,entity,proposition,,,current,0,0,
再入现象在q>3时消失,再入现象在q>3时消失,entity,proposition,,,current,0,0,
再进入现象,再进入现象,entity,keyword,,,current,0,0,
冷原子实验冷原子实验,冷原子实验冷原子实验(cold atom experiment),entity,keyword,,,current,0,0,
准确率低于卷积神经网络等判别式模型的最优结果,准确率低于卷积神经网络等判别式模型的最优结果,entity,proposition,,,current,0,0,
准纠缠熵,准纠缠熵quasi-entanglement entropy,entity,keyword,,,current,0,0,
